script/assets/dataset_full.json
id,time Inic, time final
98f97c48-31f0-4765-ba13-032a855d80a4,174067,183201
7824da4d-adb8-4bb6-aa88-9c309e9cd5a7,175167,185967
6d1d4749-bca0-4968-84ca-8944ab00e108,174667,178867
c97e4d9c-3492-4b1c-ab91-e4e541d85fcf,174067,178200
8da520ec-6582-4dae-b2be-4a657912f3a1,176667,182133
6a700a52-64cd-4028-a754-7ad0f49c03d5,174267,179400
0894a339-0f22-4de8-b4bb-47f240072036,174267,181400
403d49ed-cb7c-4d36-8b22-37ec9394425d,174467,182734
30507390-1ad4-4daf-9d22-ab0fedafc141,175267,179067
e47518aa-de6e-4c19-b710-0434c747cc56,174967,182367
23622342-e946-4c5a-971e-a72775b4dc36,177367,184833
dd654a79-706c-4fed-96aa-270166bf9c00,174667,183734
15e7b73e-8bfb-492a-b13e-2bee331b2a76,185967,191834
91bfb013-3eac-41b1-b2d3-ee28ddc6599e,185967,191234
c6aef41a-9a83-47bc-bebf-43a9057e9569,185967,191100
8babc9ae-0520-431a-881b-0b5501d7eb1d,186367,189033
2fa39f80-3e2a-4c2a-a356-0e08922ef741,187067,193600
cbf9d8a1-2532-48e1-823b-99f942b1880b,186567,190701
371bce00-b005-4cbf-bc71-754b207a4401,185967,191034
2d797432-8dce-4021-a68a-344435f7180f,186667,193200
67b478d2-3bf0-4a2f-b064-fc2de478a62c,185967,197301
dcea1a16-39a0-4497-9e25-d11463cdeef8,186567,191567
373edd14-3093-49b4-9d40-472cd30eb577,187267,197067
0734a7ae-ed5d-4b55-8941-5329438ad199,191567,206833
ca9d6411-9d5e-4fe3-a916-ae5355fb4ffb,186167,190833
642eb5f4-37d0-4817-b62b-0b88ae4e9c95,185967,190167
ab17f9d5-8f03-4dec-a7be-fae6820fbe1f,186667,190533
c0c38c20-484b-4fe2-b97f-821f4dce6411,186867,190066
95845314-0870-4ce4-9677-9663eaeb4d8d,186967,191100
86554448-f4fc-4af5-a1d8-b04bc288bd10,185967,191300
cab658fd-e199-4b11-a804-aeed58e9dfff,186467,190534
20a8433a-847e-43ef-828e-9cccc9b4d774,187467,191734
c0949c2b-9154-487f-8841-d0a2c21f645d,186167,190967
6eec1dcb-e63d-493a-a96f-4b166f6b010f,187067,191334
3d82925b-55cd-4c12-8505-ab874f264338,188067,191600
5b7d9fb3-291c-4a8a-8a7d-d3d180880940,187667,191000
c9ae1d02-2cf3-4479-acd8-93bbfa95d8e2,185967,192834
87904ad8-42da-4a78-a48e-d9768e3929db,206833,211300
a8c6c958-f56e-494b-acaf-07cfe2937800,206833,210833
8a60c9b9-889d-4c79-b4f1-7100d12f87bb,206833,212767
01012898-0fe3-40ac-bdfe-ee410b23ba39,206833,210900
56ee0423-a4f5-4ca5-b6ed-32de6cb49af8,206833,212566
0b4b9f51-62a0-4628-8a66-8c2ddb4f763c,207233,211300
43c3bc2a-34f6-479d-92ef-b617c87d0f7c,207833,210700
e6beeb85-6c15-444d-9a26-bbce8780be41,206833,228900
f07e16f6-98d3-4fb1-b6fd-b6c86d0ef7e0,207233,224966
99c3667c-4a3b-495e-be9c-f50f6a21bacb,207233,214832
e1673255-983e-4f89-9bf5-364935a56591,208033,211566
b69c72a5-1512-48f5-90ca-335ed6b3c37e,206833,215166
dd296894-53f2-4a10-bb02-9ebbb405e6ad,208033,211833
8821482e-9b07-42b1-95cc-19475abe4db4,206833,210632
ecb9d1a9-37f8-4406-8650-c2db85ef67fd,208633,211966
787e78be-1457-449f-ba3c-cc673781f86f,207233,212566
baf310e7-09c1-4ffd-85a0-ad7d76cb15b7,207033,213699
117d5665-e7d5-49f6-a81b-8c22ee91ea0e,207133,209999
019cd491-56c7-41bc-a5e4-723d689064a8,208033,212366
b33e67b2-d4f8-4de0-a4b8-75bcddad68a4,207633,211366
cd2d131c-f784-4a1e-a990-ebed06d766db,208033,213499
c4e1c803-7666-4688-a5ff-de1f0a4c546d,207233,211900
a2fec9e1-420d-43b3-8551-c69970f86093,207133,212733
3367edcd-c14c-497c-a2de-930a4e334f8d,206833,228766
b1205abc-3fe7-411b-a0c4-8f97286541ad,207533,210667
9dfc2655-4105-4163-8613-35395f7fb0c3,228900,234166
6f63b583-84a7-44ff-b86a-7bc18e042efd,228900,232833
9aac3740-cb3b-40eb-80e3-0aba0b3efe52,228900,232700
142836cd-5ca2-4f65-b33c-3dc08988ba98,228900,232566
83034906-1122-4677-bfb3-895220a0e5f6,229500,233033
34288512-aee6-4661-9e6d-8c000210ac44,229800,235400
e1094fe8-ab8c-4016-badf-623216ef4274,229700,234500
d525423c-30da-43ac-9b3e-7e08beeb3609,230000,237400
64463002-0fb5-48eb-92fa-22c2ab2e654b,230200,237600
a5512715-d881-42af-bdfa-ebe994b9f79a,229200,236200
6abc1d0b-3601-4a56-8a7c-8179aa0c22ff,229300,234766
45bfa5fd-c75b-473b-99c0-1eacb2538558,229000,238334
3dccfb19-9f47-432f-abdc-fe0b92ce1f80,228900,236166
de20e027-e5b4-41c2-99f1-eca1dc073e27,228900,235233
2050d27d-89a9-4e0b-8f11-26e9edb4251c,228900,232366
dcb71b4d-f229-49cd-bc68-6770907fdeae,229200,232866
e5d77e6e-9bdb-40cf-ac9c-3420eb3e78c0,228900,243300
ee94dab7-3c94-405a-ba32-2ff58968080c,228900,233366
09728cd8-ec70-442a-810f-c994b9358bfb,228900,248833
e1681afc-e675-47c5-83b8-0afd478ce2aa,229500,232967
b2ccd27a-f56a-42b8-b423-50eae1a3982a,228900,247699
9b147f5d-6961-4126-9af0-108b8b5555b9,228900,237300
fd658756-9243-439e-a377-97a3f2032079,229800,233266
8e44566b-d146-4ba1-a01f-6c8e513c5df8,228900,236767
754b8a5c-a5e5-43d7-8133-17323faf27f2,229500,240900
23d65912-fd8b-4e14-906d-104ccdb68fc4,229300,232967
56e3ffbc-d5eb-4f18-a0b6-6f175db8f6dc,230800,237934
55f8e0f2-7ec9-4796-a6e0-92ac00efad9d,230500,235500
88bb537e-9409-470d-b007-deeda995fa3e,231600,235533
f20398dd-e1bb-4a43-8096-ceda1c50e19f,231500,240034
b2f37dc9-2481-4a36-a317-889d9f1db98c,248833,255633
57c216cb-8894-4126-9e35-ba2b3a0f3876,248833,253766
e54ad5e5-b9da-45bb-b0a1-98ef794c743f,249633,256366
8aa0fe93-dbbc-41dd-9a08-8bd01169572f,248833,255099
eceaeb5e-f6a2-483e-a9e8-3c6b691e6b3f,248833,255166
64c9bb12-cb2f-492a-8ff3-cf191b088e0b,248833,252966
d76a972f-d61f-4983-8c10-c5d2deee5b51,248833,261633
230e9fd1-effc-4991-a7fb-124e865cfb8d,248833,252033
84bd8292-0fce-43a6-b645-c577169f0199,249533,253333
8db6ede5-6efe-4c5b-9fbe-f5ce7109088d,248833,253566
63996665-9fa2-4591-97d4-9bbfdadbff37,249233,264766
85380a92-9d6d-418e-a1fe-6283de0ce340,249433,256299
0d2ea807-aae7-44bb-851e-e562c7570449,249533,260200
8ebd9874-4a59-4418-b4b8-8801ec17a33b,249133,253599
34c45420-e056-4575-a2be-b67e24b6029e,248833,252166
6b482617-4252-44f3-93fb-24b7600f8be5,250733,253799
f1492e32-e09c-447a-96d7-5cf02929dc06,248833,252433
75908699-4cf0-4edf-b72a-ad38b6ca5d86,248833,254300
